IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo,,,,,,,,,,,,,,,,,,,,,,,,,
2348-62-LE17;CONTRATACIÓN DE SERVICIOS DE CARGAS DE GAS LICUADO.;LE;Adjudicada a uno o varios proveedores;29/12/2017 13:09:22;CONTRATACIÓN DE SERVICIOS DE CARGAS DE GAS LICUADO.;CLP;PUBLICADO;ESTIMADO;7.000.000;IL. MUNICIPALIDAD DE PUNTA ARENAS,,,,,,,,,,,,,,,,,,,,,,,,,
4589-6-LE18;RECARGA CILINDROS DE GAS;LE;Adjudicada a uno o varios proveedores;14/03/2018 16:01:41;contrato de suministro para abastecimiento de Gas licuado para la Ilustre Municipalidad de Torres del Payne”, para abastecimiento de Áreas Municipal, educación y salud, además de proyectos, convenios y programas externos que requieran de estos insumos;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Ilustre Municipalidad Torres del Payne,,,,,,,,,,,,,,,,,,,,,
3284-36-LE17;RECARGAS DE GAS COMUNA DE CHAITÉN;LE;Adjudicada a uno o varios proveedores;07/12/2017 12:39:22;CONVENIO DE SUMINISTRO PARA RECARGAS DE GAS EN LA COMUNA DE CHAITÉN;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;ILUSTRE MUNICIPALIDAD DE CHAITEN,,,,,,,,,,,,,,,,,,,,,,,,,
1968-69-L117;SERVICIO DE RECARGA, TRANSPORTE DE OXIGENO MEDICINAL Y AIRE COMPRIMIDO PARA LAS UNIDADES PENALES Y ESPECIALES DE GENDARMERÍA DE CHILE – REGIÓN DE LA ARAUCANÍA  ;L1;Adjudicada a uno o varios proveedores;14/12/2017 16:12:25;Que la Dirección Regional de Gendarmería de Chile – Región de la Araucanía, requiere contratar el servicio de recarga y transporte de oxigeno medicinal y aire comprimido para las distintas Unidades Penales y Especiales correspondientes a su jurisdicción.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Gendarmería de Chile,,,,,,,,,,,,,,,,,,,,,,,
3870-6-L118;Suministro Gas -DAEM;L1;Adjudicada a uno o varios proveedores;26/02/2018 17:56:00;Disponer de Gas para sala cuna, establecimientos o dependencias de educación;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ilustre Municipalidad de Pemuco,,,,,,,,,,,,,,,,,,,,,,,,
4014-5-L118;SUMINISTRO DE GAS ESTABLECIMIENTOS EDUCACIONALES;L1;Adjudicada a uno o varios proveedores;18/01/2018 12:14:06;LA NECESIDAD DE CONTAR CON UN SERVICIO DE SUMINISTRO DE GAS, PARA ESTABLECIMIENTOS EDUCACIONALES;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Puchuncavi,,,,,,,,,,,,,,,,,,,,,,,,
2207-122-L118;CONVENIO SUMINISTRO DE GAS 2018 ;L1;Adjudicada a uno o varios proveedores;13/04/2018 10:01:18;adquirir gas para el hospital ;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Hospital Pichilemu,,,,,,,,,,,,,,,,,,,,,,,,,
2115-43-LE17;Suministro de Gases Medicinales CRS Maipú;LE;Adjudicada a uno o varios proveedores;26/01/2018 16:07:59;Que el CRSM necesita contar con servicios, sea de personas naturales o jurídicas para el Suministro de Gases Medicinales para el Centro de Referencia de Salud de Maipú.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Centro de Referencia de Salud de Maipú,,,,,,,,,,,,,,,,,,,,,,,,
5350-23-LE18;CONVENIO SUMINISTRO GASES CLINICOS ESTABL. SALUD;LE;Adjudicada a uno o varios proveedores;16/03/2018 09:26:17;usos establecimientos municipales;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I. MUNICIPALIDAD DE VALLENAR,,,,,,,,,,,,,,,,,,,,,,,,,
948354-8-LE18;ADQUISICIÓN DE 18 CILINDROS DE MEZCLA DE GAS PARA ESPIRÓMETRO MEDGRAPHICS DEL HOSPITAL DIPRECA;LE;Adjudicada a uno o varios proveedores;01/03/2018 08:25:33;ADQUISICIÓN DE 18 CILINDROS DE MEZCLA DE GAS PARA ESPIRÓMETRO MEDGRAPHICS DEL HOSPITAL DIPRECA;CLP;PUBLICADO;DISPONIBLE;9.240.000;Fondo Hospital Dipreca,,,,,,,,,,,,,,,,,,,,,,,,,
3185-1-L118;ADQUISICION DE EQUIPOS DETECTOR DE GAS VIVIENDAS;L1;Adjudicada a uno o varios proveedores;10/01/2018 09:55:00;ADQUIRIR EQUIPOS DETECTOR DE GAS PARA VIVIENDAS FISCALES JURISDICCIÓN ARICA;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
3046-7-L118;GBS-2-RB-ADQUISICION DE GAS C.R. ÑANCUMAPU;L1;Adjudicada a uno o varios proveedores;23/01/2018 11:31:07;GBS-2-RB-ADQUISICIÓN DE GAS C.R. ÑANCUMAPU;CLP;PUBLICADO;DISPONIBLE;680.000;Fuerza Aérea de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
2913-7-L118;PROVISIÓN E INSTALACIÓN DE GAS Y CERTIFICACIÓN SEC;L1;Adjudicada a uno o varios proveedores;22/01/2018 16:05:19;REALIZAR PROYECTO DE GAS, INSTALACIÓN DE GAS DE ACUERDO A LA NORMATIVA VIGENTE, PROVISIÓN DE BALONES CARGADOS, PROYECTO DE GAS FIRMADO Y CERTIFICACIÓN SEC DE LA INSTALACIONES.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD DE FRUTILLAR,,,,,,,,,,,,,,,,,,,,,,
2401-108-L118;SERVICIO DE MANTENCION PREVENTIVO DE EQUIPO DE GAS;L1;Adjudicada a uno o varios proveedores;05/04/2018 17:09:33;SERVICIO DE MANTENCION PREVENTIVO DE EQUIPOS DE GAS EN DEPENDENCIAS MUNICIPALES. NOTA DE PEDIDO 36, SERV. GENERALES.;CLP;PUBLICADO;ESTIMADO;3.500.000;ILUSTRE MUNICIPALIDAD DE RANCAGUA,,,,,,,,,,,,,,,,,,,,,,,,
4375-42-L118;Cilindro de Gas de Calibración;L1;Adjudicada a uno o varios proveedores;14/02/2018 09:10:30;El HGGB, necesita adquirir cilindros de gas de calibración solicitados por Unidad Ambulatoria Cardiología.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Hospital Guillermo Grant Benavente,,,,,,,,,,,,,,,,,,,,,,,,
4099-9-L118;Convenio de suministro de gas;L1;Adjudicada a uno o varios proveedores;06/02/2018 18:44:08;Convenio de suministro de gas para dependencias Municipales;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I.MUNICIPALIDAD DE MARIA PINTO,,,,,,,,,,,,,,,,,,,,,,,,,
2422-84-L118;SOLICITUD 928026 CILINDROS DE 11 KILOS Y 15  KILOS;L1;Adjudicada a uno o varios proveedores;12/02/2018 15:12:27;NECESIDAD DEL   SERVICIO ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE PUENTE ALTO,,,,,,,,,,,,,,,,,,,,,,,,,
1069-1-L118;Recargas de Gas Licuado de 45 kilos;L1;Adjudicada a uno o varios proveedores;02/03/2018 15:25:42;Cilindros de Gas de 45 kilos, Los Valores Netos con flete incluido hasta nuestra Bodega Ubicada en Jorge Schythe N 31, porvenir.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;MOP - Dirección de Vialidad,,,,,,,,,,,,,,,,,,,,,,,
3017-266-L118;ESTUFAS A GAS, DIVERSAS DEPENDENCIAS MUNICIPALES;L1;Adjudicada a uno o varios proveedores;03/04/2018 10:37:01;REQUERIMIENTO NECESARIO PARA OFICINAS DE BODEGA OPERATIVO PMU Y PROGRAMA SEGURIDAD Y OPORTUNIDADES;CLP;PUBLICADO;DISPONIBLE;400.000;MUNICIPALIDAD DE LOTA,,,,,,,,,,,,,,,,,,,,,,,,
