id_unidad,nombre_unidad,nombre_organismo,cantidad_licitaciones,totalgastado,primera_licitacion,ultima_licitacion,gasto_2022,diferencia_anterior_2023,proveedores_2022,proveedores_2023,competencia_otros,valor_promedio_compra,cantidad_trabajadores,cliente_nuevo
3195,Servicio de Salud Aconcagua,SERVICIO DE SALUD ACONCAGUA,3,6302612985,11/05/2020,25/08/2021,0,1260522597,0,0,2,2100870995,4540,0
1057417,Bienes y Servicios,COMPLEJO ASISTENCIAL DR.VICTOR RIOS RUIZ,6,4306827530,14/06/2019,13/08/2021,0,861365506,0,0,2,717804588.3,4022,0
3075,Hospital Regional Rancagua - HRR,SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,60,3886436799,15/01/2018,19/06/2023,460313084,195671523,20,8,2,64773946.65,4585,0
1057489,Bienes y Servicios,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,10,3553216721,24/12/2019,26/05/2022,333438222,710643344.2,3,0,2,355321672.1,2859,0
3759,I MUNICIPALIDAD DE MAIPU,I MUNICIPALIDAD DE MAIPU,13,3320732897,25/06/2018,10/04/2023,133725177,580806473.8,5,7,2,255440992.1,1474,0
1044,Servicio Nacional de Capacitación y Empleo,SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,5,2693393416,14/01/2021,25/05/2022,1100856916,538678683.2,14,0,2,538678683.2,710,0
4132,Secretaría de Planificación,I MUNICIPALIDAD DE COLLIPULLI,10,2627695779,06/06/2018,24/04/2023,419104000,347429155.8,1,1,2,262769577.9,918,0
1063538,Bienes y Servicios,HOSPITAL BASE OSORNO,44,2382911020,08/03/2019,18/05/2023,1132559894,23774120,68,35,1,54157068.64,0,0
1057539,Bienes y Servicios,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,20,2150414234,28/05/2019,16/02/2023,1599593221,317983766.8,12,2,1,107520711.7,0,0
5093,Secplan,Ilustre Municipalidad de Quirihue,16,2126958335,13/05/2019,13/01/2023,369475760,-540964460.6,1,3,2,132934895.9,549,0
2376,HOSPITAL HERNAN HENRIQUEZ ARAVENA - ABASTECIMIENTO,HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA,18,1995017499,15/01/2018,09/11/2022,33601900,399003499.8,2,0,2,110834305.5,5188,0
3124,Ilustre Municipalidad de Ranquil,Ilustre Municipalidad de Ranquil,20,1795147867,21/09/2018,13/06/2023,849336737,199201674.2,3,1,2,89757393.35,368,0
1057509,Bienes y Servicios,HOSPITAL CLINICO HERMINDA MARTIN,22,1703155039,31/07/2019,06/12/2022,565891367,340631007.8,9,0,2,77416138.14,3684,0
1057402,Bienes y Servicios,HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA,20,1701500455,06/12/2019,22/05/2023,540790415,320428091,33,1,2,85075022.75,0,0
2637,SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE D,SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,15,1661802026,01/02/2018,05/05/2023,893673878,-125242047.2,6,5,2,110786801.7,3652,0
2391,Servicio de Salud Coquimbo,SERVICIO DE SALUD COQUIMBO,16,1625154930,01/08/2018,05/05/2023,98863859,324988626,5,1,2,101572183.1,691,0
4392,Hospital de Carabineros,DIRECCION DE LOGISTICA DE CARABINEROS,6,1608689174,08/01/2018,06/11/2020,0,321737834.8,0,0,2,268114862.3,1538,0
1075963,Hospital Juan Noé,SERVICIO DE SALUD ARICA HOSP DR JUAN NOE CREVANI,29,1558007485,26/09/2019,06/06/2023,537427535,-107119495,24,7,2,53724396.03,2219,0
5038,SECPLA,I MUNICIPALIDAD DE CURACAUTIN,19,1495763326,19/03/2018,20/07/2021,0,299152665.2,0,0,2,78724385.58,673,0
3252,Abastecimiento Principal,SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L,27,1470327014,18/01/2019,11/05/2023,1016255244,284126333.2,40,7,2,54456556.07,0,0
3021,Servicio de Salud Viña del Mar - Quillota,SERVICIO SALUD VINA DEL MAR QUILLOTA,14,1468901274,13/09/2018,05/12/2022,16337910,293780254.8,4,0,2,104921519.6,11493,0
4444,DIVBIE - Jefatura Administración del Patrimonio,COMANDO DE APOYO A LA FUERZA,1,1390968471,11/11/2020,11/11/2020,0,278193694.2,0,0,2,1390968471,458,0
1852,Junji - Región Metropolitana,JUNTA NACIONAL DE JARDINES         INFANTILES,5,1325146730,11/10/2018,09/05/2022,1310853726,265029346,2,0,2,265029346,23015,0
